"","ï..id","occurrenceID","catalogNumber","basisOfRecord","collectionCode","scientificName","taxonRank","kingdom","family","higherClassification","vernacularName","previousIdentifications","individualCount","lifeStage","sex","longitudeDecimal","latitudeDecimal","geodeticDatum","dataGeneralizations","coordinateUncertaintyInMeters","continent","country","countryCode","stateProvince","locality","habitat","recordedBy","eventID","eventDate","eventTime","samplingProtocol","behavior","associatedTaxa","references","rightsHolder","license","modified"
"1","999999@OBS","https://observation.org/observation/999999","OBS.999999","HumanObservation","Observations","Rorippa palustris","species","Plantae","Brassicaceae","Plantae|Brassicaceae","Marsh Yellow-cress",NA,1,"unknown","undetermined",6.75,52.1,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Overijssel","Haaksbergerveen - Zuidwestelijk deel",NA,NA,NA,"1978-07-01","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.999999","Stichting Natuurinformatie","CC BY-NC 4.0","2013/11/13"
"2","99999998@OBS","https://observation.org/observation/99999998","OBS.99999998","HumanObservation","Observations","Podiceps cristatus","species","Animalia","GREBES_PODICIPEDIDAE","Animalia|GREBES_PODICIPEDIDAE","Great Crested Grebe",NA,1,"unknown","undetermined",5.15,51.65,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Nieuwkuijk - Nieuwkuijksche Bos en Wiel",NA,NA,NA,"2015-03-14","14:26",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999998","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"3","99999997@OBS","https://observation.org/observation/99999997","OBS.99999997","HumanObservation","Observations","Parus major","species","Animalia","TITS_PARIDAE","Animalia|TITS_PARIDAE","Great Tit",NA,1,"unknown","undetermined",5.15,51.65,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Nieuwkuijk - Nieuwkuijksche Bos en Wiel",NA,NA,NA,"2015-03-14","14:27",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999997","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"4","99999995@OBS","https://observation.org/observation/99999995","OBS.99999995","HumanObservation","Observations","Parus major","species","Animalia","TITS_PARIDAE","Animalia|TITS_PARIDAE","Great Tit",NA,3,"unknown","undetermined",5.15,51.65,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Nieuwkuijk - Nieuwkuijksche Bos en Wiel",NA,NA,NA,"2015-03-14","14:32",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999995","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"5","99999991@OBS","https://observation.org/observation/99999991","OBS.99999991","HumanObservation","Observations","Cyanistes caeruleus","species","Animalia","TITS_PARIDAE","Animalia|TITS_PARIDAE","Eurasian Blue Tit",NA,1,"unknown","undetermined",5.15,51.65,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Nieuwkuijk - Nieuwkuijksche Bos en Wiel",NA,NA,NA,"2015-03-14","14:37",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999991","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"6","99999990@OBS","https://observation.org/observation/99999990","OBS.99999990","HumanObservation","Observations","Turdus merula","species","Animalia","THRUSHES_TURDIDAE","Animalia|THRUSHES_TURDIDAE","Common Blackbird",NA,3,"unknown","undetermined",5.15,51.65,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Nieuwkuijk - Nieuwkuijksche Bos en Wiel",NA,NA,NA,"2015-03-14","14:37",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999990","Stichting Natuurinformatie","CC BY-NC 4.0","2015/10/27"
"7","99999984@OBS","https://observation.org/observation/99999984","OBS.99999984","HumanObservation","Observations","Ardea cinerea","species","Animalia","HERONS_ARDEIDAE","Animalia|HERONS_ARDEIDAE","Grey Heron",NA,1,"unknown","undetermined",5.2,51.65,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Vlijmen - Vlijmens Ven",NA,NA,NA,"2015-03-14","14:45",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999984","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"8","99999983@OBS","https://observation.org/observation/99999983","OBS.99999983","HumanObservation","Observations","Oryctolagus cuniculus","species","Animalia","HARES_AND_RABBITS_LEPORIDAE","Animalia|HARES_AND_RABBITS_LEPORIDAE","European Rabbit",NA,1,"unknown","undetermined",5.2,51.65,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Vlijmen - Vlijmens Ven",NA,NA,NA,"2015-03-14","14:46",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999983","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"9","99999980@OBS","https://observation.org/observation/99999980","OBS.99999980","HumanObservation","Observations","Columba palumbus","species","Animalia","PIGEONS_AND_DOVES_COLUMBIDAE","Animalia|PIGEONS_AND_DOVES_COLUMBIDAE","Common Wood Pigeon",NA,2,"unknown","undetermined",5.2,51.65,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Vlijmen - Vliedberg",NA,NA,NA,"2015-03-14","14:49",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999980","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"10","99999975@OBS","https://observation.org/observation/99999975","OBS.99999975","HumanObservation","Observations","Oryctolagus cuniculus","species","Animalia","HARES_AND_RABBITS_LEPORIDAE","Animalia|HARES_AND_RABBITS_LEPORIDAE","European Rabbit",NA,2,"unknown","undetermined",5.2,51.65,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Vlijmen - Vliedberg",NA,NA,NA,"2015-03-14","14:52",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999975","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
